"","air_yards","qb_hit_observed","posteam","id"
"1",4,0,"IND",29
"2",7,0,"NYG",11
"3",5,0,"TB",9
"4",6,0,"PHI",26
"5",4,0,"CAR",24
"6",28,0,"DAL",10
"7",10,0,"TB",9
"8",3,0,"MIA",20
"9",13,0,"CHI",5
"10",1,0,"DET",31
"11",4,0,"CAR",24
"12",28,0,"CIN",22
"13",5,0,"NE",19
"14",5,1,"TEN",1
"15",23,1,"PIT",28
"16",1,0,"NO",13
"17",5,0,"GB",14
"18",4,0,"LV",3
"19",19,0,"DEN",12
"20",18,0,"PIT",28
"21",51,0,"MIA",20
"22",2,0,"CAR",24
"23",4,0,"MIN",21
"24",4,0,"HOU",15
"25",3,0,"LV",3
"26",5,0,"TEN",1
"27",19,0,"LAC",17
"28",20,0,"CLE",7
"29",20,0,"LAC",17
"30",24,0,"PHI",26
"31",2,0,"NO",13
"32",21,0,"LAC",17
"33",2,0,"CIN",22
"34",1,0,"PHI",26
"35",23,0,"PIT",28
"36",3,0,"NYJ",23
"37",11,0,"CAR",24
"38",15,1,"LA",6
"39",4,0,"ATL",25
"40",7,1,"LAC",17
"41",5,0,"IND",29
"42",12,0,"JAX",16
"43",13,0,"DET",31
"44",4,0,"CHI",5
"45",0,0,"LV",3
"46",6,0,"NYJ",23
"47",11,0,"ARI",2
"48",4,0,"NYJ",23
"49",15,0,"BUF",27
"50",3,0,"MIN",21
"51",7,0,"SEA",30
"52",9,0,"NYG",11
"53",7,0,"DAL",10
"54",1,0,"CIN",22
"55",16,1,"LAC",17
"56",1,0,"NYJ",23
"57",6,0,"CHI",5
"58",1,0,"MIA",20
"59",10,0,"PHI",26
"60",10,0,"WAS",18
"61",8,0,"CAR",24
"62",2,0,"WAS",18
"63",2,1,"CAR",24
"64",25,0,"TB",9
"65",15,0,"DAL",10
"66",13,1,"CAR",24
"67",7,0,"BAL",4
"68",0,0,"NYG",11
"69",17,1,"ATL",25
"70",16,0,"KC",8
"71",29,0,"DET",31
"72",15,0,"CIN",22
"73",3,0,"LA",6
"74",3,0,"TB",9
"75",6,0,"GB",14
"76",23,0,"MIN",21
"77",19,0,"SEA",30
"78",14,0,"BAL",4
"79",19,0,"GB",14
"80",5,0,"GB",14
"81",14,0,"ARI",2
"82",47,0,"NYJ",23
"83",0,1,"JAX",16
"84",9,0,"ATL",25
"85",2,0,"BAL",4
"86",2,0,"MIN",21
"87",12,0,"TB",9
"88",7,1,"CHI",5
"89",7,0,"LAC",17
"90",4,0,"CLE",7
"91",6,0,"PHI",26
"92",19,0,"ARI",2
"93",7,0,"SF",32
"94",15,0,"LV",3
"95",4,0,"MIA",20
"96",14,0,"LA",6
"97",0,0,"JAX",16
"98",9,0,"TEN",1
"99",3,1,"BUF",27
"100",47,0,"LAC",17
"101",3,0,"TEN",1
"102",5,0,"ATL",25
"103",7,0,"CIN",22
"104",8,0,"CLE",7
"105",6,0,"DEN",12
"106",5,0,"DEN",12
"107",1,0,"TB",9
"108",8,0,"MIN",21
"109",10,0,"LA",6
"110",5,0,"JAX",16
"111",12,0,"KC",8
"112",0,0,"PHI",26
"113",13,0,"NYG",11
"114",10,0,"LAC",17
"115",21,0,"PHI",26
"116",13,0,"DEN",12
"117",18,0,"DAL",10
"118",4,0,"NE",19
"119",5,0,"CIN",22
"120",13,0,"WAS",18
"121",4,0,"NYJ",23
"122",21,0,"CIN",22
"123",5,0,"CLE",7
"124",3,0,"IND",29
"125",27,0,"PHI",26
"126",4,0,"NYG",11
"127",14,0,"NYJ",23
"128",12,0,"MIN",21
"129",5,0,"IND",29
"130",3,0,"NYJ",23
"131",25,0,"NYG",11
"132",4,0,"BAL",4
"133",15,1,"NO",13
"134",4,0,"LAC",17
"135",4,0,"DAL",10
"136",6,0,"CAR",24
"137",18,0,"LA",6
"138",12,0,"MIN",21
"139",22,0,"PHI",26
"140",6,0,"CAR",24
"141",14,0,"WAS",18
"142",2,1,"ARI",2
"143",4,0,"PHI",26
"144",10,0,"NYG",11
"145",2,0,"TB",9
"146",5,0,"NE",19
"147",1,0,"LV",3
"148",4,0,"HOU",15
"149",4,0,"NE",19
"150",0,0,"PIT",28
"151",24,1,"HOU",15
"152",35,0,"TB",9
"153",4,0,"IND",29
"154",33,1,"GB",14
"155",0,0,"JAX",16
"156",15,0,"DEN",12
"157",19,0,"PHI",26
"158",4,0,"BAL",4
"159",11,1,"DAL",10
"160",4,0,"TB",9
"161",6,1,"ATL",25
"162",52,0,"LAC",17
"163",22,0,"NO",13
"164",4,0,"MIN",21
"165",3,0,"CAR",24
"166",7,1,"JAX",16
"167",6,0,"CIN",22
"168",2,0,"MIA",20
"169",28,1,"CHI",5
"170",5,0,"ARI",2
"171",13,0,"LA",6
"172",6,0,"PHI",26
"173",0,0,"CIN",22
"174",26,1,"LAC",17
"175",9,0,"HOU",15
"176",3,0,"IND",29
"177",18,0,"HOU",15
"178",5,0,"NYJ",23
"179",1,0,"GB",14
"180",46,0,"LV",3
"181",17,0,"TB",9
"182",2,0,"TEN",1
"183",0,0,"DET",31
"184",8,1,"HOU",15
"185",10,0,"ARI",2
"186",5,0,"SF",32
"187",3,0,"LAC",17
"188",10,0,"DAL",10
"189",2,0,"LA",6
"190",1,0,"BUF",27
"191",16,0,"CLE",7
"192",4,0,"IND",29
"193",9,0,"LAC",17
"194",2,0,"WAS",18
"195",14,0,"LA",6
"196",4,0,"IND",29
"197",6,0,"CHI",5
"198",4,0,"DEN",12
"199",6,0,"ATL",25
"200",3,0,"ATL",25
"201",20,0,"SF",32
"202",7,0,"NE",19
"203",16,0,"LV",3
"204",40,1,"LA",6
"205",12,0,"JAX",16
"206",3,1,"LV",3
"207",18,1,"ATL",25
"208",9,0,"IND",29
"209",34,0,"DET",31
"210",6,0,"IND",29
"211",26,0,"NO",13
"212",2,0,"CIN",22
"213",1,0,"SF",32
"214",3,0,"WAS",18
"215",11,0,"PIT",28
"216",18,0,"JAX",16
"217",12,0,"KC",8
"218",17,0,"IND",29
"219",15,0,"BUF",27
"220",39,0,"BAL",4
"221",26,0,"DEN",12
"222",5,0,"ARI",2
"223",17,0,"NYJ",23
"224",39,0,"KC",8
"225",5,0,"SEA",30
"226",5,0,"TB",9
"227",2,0,"CLE",7
"228",16,0,"IND",29
"229",9,0,"DET",31
"230",3,0,"MIA",20
"231",9,0,"MIA",20
"232",25,0,"NE",19
"233",8,0,"SF",32
"234",27,0,"DEN",12
"235",20,0,"TB",9
"236",5,0,"NYG",11
"237",10,0,"BUF",27
"238",9,1,"GB",14
"239",4,0,"BUF",27
"240",14,1,"SEA",30
"241",2,0,"ATL",25
"242",8,0,"LA",6
"243",4,0,"ATL",25
"244",19,0,"CHI",5
"245",37,0,"LAC",17
"246",11,0,"KC",8
"247",9,0,"LA",6
"248",3,0,"PHI",26
"249",3,0,"ARI",2
"250",21,0,"GB",14
"251",32,0,"BAL",4
"252",0,0,"NO",13
"253",1,0,"ATL",25
"254",0,0,"GB",14
"255",13,1,"NYJ",23
"256",0,0,"TB",9
"257",4,0,"DAL",10
"258",8,1,"CAR",24
"259",5,0,"BUF",27
"260",4,0,"DEN",12
"261",3,0,"CIN",22
"262",18,0,"LAC",17
"263",9,0,"SEA",30
"264",5,0,"MIN",21
"265",0,0,"CLE",7
"266",17,0,"HOU",15
"267",3,0,"DEN",12
"268",4,0,"CAR",24
"269",4,0,"CAR",24
"270",5,0,"KC",8
"271",15,0,"PHI",26
"272",29,0,"WAS",18
"273",4,0,"LAC",17
"274",9,1,"IND",29
"275",6,0,"PIT",28
"276",10,0,"LAC",17
"277",45,1,"GB",14
"278",5,0,"DEN",12
"279",10,0,"CLE",7
"280",5,0,"LA",6
"281",8,0,"DEN",12
"282",5,0,"ARI",2
"283",5,0,"NE",19
"284",11,0,"ARI",2
"285",11,0,"MIA",20
"286",4,0,"ATL",25
"287",1,0,"DAL",10
"288",4,0,"NO",13
"289",4,0,"GB",14
"290",9,0,"HOU",15
"291",6,0,"NYG",11
"292",14,0,"IND",29
"293",3,0,"TEN",1
"294",21,1,"NYJ",23
"295",16,0,"PIT",28
"296",8,0,"SF",32
"297",9,0,"MIA",20
"298",5,0,"CAR",24
"299",1,0,"GB",14
"300",9,1,"NYG",11
"301",0,0,"CIN",22
"302",8,0,"TB",9
"303",3,0,"ATL",25
"304",19,1,"CIN",22
"305",10,0,"SEA",30
"306",16,0,"TEN",1
